genQ12	3	31	4.966616153717041
genQ19	31	5	3.493210792541504
genQ32	5	31	10.689682006835938
genQ44	8	31	1.7051658630371094
genQ36	6	7	6.2680816650390625
genQ4	1	32	14.12179946899414
genQ16	31	4	13.644002914428711
genQ37	6	8	6.077786445617676
genQ14	3	2	14.065380096435547
genQ45	8	4	14.257102012634277
genQ33	5	2	8.67164134979248
genQ5	1	4	12.931661605834961
genQ39	6	4	14.97061538696289
genQ28	4	5	13.174710273742676
genQ10	2	3	6.796553611755371
genQ34	5	1	13.944172859191895
genQ41	7	1	1.5466365814208984
genQ11	3	8	5.390631675720215
genQ3	1	31	14.644767761230469
genQ42	7	32	1.8076772689819336
genQ35	6	2	3.0494916439056396
genQ17	31	5	5.104104042053223
genQ26	4	8	11.076191902160645
genQ21	32	1	14.562521934509277
genQ22	32	7	10.125995635986328
genQ48	8	7	6.952103614807129
genQ9	2	7	13.565013885498047
genQ30	5	7	14.006492614746094
genQ24	32	3	14.007237434387207
genQ38	6	4	16.900527954101562
genQ7	2	31	8.217290878295898
genQ20	32	2	15.421581268310547
genQ13	3	4	12.162575721740723
genQ6	2	7	15.147626876831055
genQ43	7	31	3.048875331878662
genQ27	4	2	7.80888032913208
genQ8	2	6	13.869138717651367
genQ25	4	32	10.620046615600586
genQ23	32	5	-1.0961995124816895
genQ2	1	32	14.41952133178711
